chanel buyer,age,city,ethnicity,group,definition
1,32,Anchorage,White,Under 40,A certain price point is definitely a major factor. Anything over $750 seems lux. Also exclusively. I like items that are somewhat hard to get. For example Chanel can’t be purchased online. That makes it more luxury to me. Also many luxury brands only make a limited number of items or for a certain season only. That makes them seem more Lux. I also like to buy things that I see people wearing on reality TV. I’m a major Bravo fan and get a lot of my luxury inspiration from what the housewives wear.
1,35,Atlanta,White,Under 40,"I believe a luxury fashion brands are good investment pieces that offers quality, uniqueness and holds resale value."
1,40,Atlanta,African American,40-60,Craftsmanship and unique pieces
0,28,Atlanta,White,Under 40,"The quality and craftsmanship of the products that the brand offers, also the level of service and attention that the sales associates provide. The ability to build relationships with the luxury brands. The artistic aspect of the designs and attention to detail tend to be much better."
0,37,Atlanta,White,Under 40,"It’s the quality, the customer service and the longevity of the products. I have things that i wear from over 15 years ago that are just as good as my newer purchases."
0,42,Atlanta,White,40-60,"Statement pieces that will be around for a long time, quality"
0,29,Atlanta,White,Under 40,The pieces are classic and withstand time. They are about quality and not just what is trendy at the moment.
0,34,Atlanta,White,Under 40,"To me, a luxury fashion brand is lifestyle design through clothing, accessories & often other lifestyle pieces & wares compared with just selling ad how outfit pieces. Often, luxury fashion brands are also higher quality & longer lasting style."
0,36,Atlanta,White,Under 40,"in my opinion the things that primarily differentiates luxury fashion brands are listed below:

*   The Exclusivity of the pieces. Typically a designer will create seasonal pieces ( designs, colors, etc) that they will retire at the end of the season. Therefore it creates a sense of urgency for you to buy and uniqueness.
    
*   QUALITY, QUALITY!! The high quality of luxury brands are worth the investment. It’s so comforting to know that your leathered items are made with premium quality and carefully stitched, which in turn would lasts for years for proper care."
1,31,Austin,White,Under 40,"To me, a luxury brand is brand that has withstand the test of time and is iconic. Iconic in the sense that when you look at a piece of item, you can easily identify the brand. Some great examples of that would be the Chanel classic flap, Louboutins red sole, the Lonchamp tote, and Mulberry bayswater. The second important factor for me is quality. It has to be made to last and the item must have flawless craftsmanship. These are the two things that are important to me when it comes to luxury brands."
1,32,Baltimore,White,Under 40,"The quality, service and relationship are the most important factors. Service not just at the time of purchase but also if an issue arises, they stand by their product. For clothing, being able to alter and have the SA help with fit is very helpful. For shoes and bags, there is nothing more important than your relationship with your SA. Having that relationship is only possible in the luxury market."
0,48,Baltimore,White,40-60,"In my opinion the quality of the luxury brand is what makes the difference.
Louis Vuitton Neverfull"
0,41,Baltimore,White,40-60,"What differentiates a luxury fashion brand from other fashion brands to me is quality I have several luxury items that have stood the test of time. I also have a deep appreciation for their designs and colors. I can also sell items of luxury fashion brands that I no longer use. Plus, the packaging adds a nice touch as well."
0,52,Boston,Asian,40-60,"In my opinion, what differentiates a luxury fashion brand are the quality material and craftsmanship. Also just as important, the shopping experience from the interaction and training of store associates, follow up and aftermarket sales when necessary, and the overall experience with the brand."
0,33,Boston,White,Under 40,Quality and price
0,26,Boston,Asian,Under 40,"I would consider a luxury fashion brand one that creates art, not just clothing or accessories. This can be seen through luxury brand’s fashion shows as well as the high quality and careful thought that goes into the designs created and materials used."
1,41,Boston,White,40-60,"Couture houses, grew up looking at luxury fashion brands in Vogue."
0,47,Boston,Asian,40-60,"I think luxury brands are more about catering to classic and timeless designs. You can wear these brands anytime and almost anywhere and their easily recognizable and makes your whole outfit chic! I also love the fact that luxury items now hold much of their value particularly bags like chanel or Hermes. Some are even considered investment pieces . I also love VIP treatment of SA’s and the houses themselves to clients like us. We are often made to feel special and important whenever we shop, answering all our questions and being patient with us, especially during the pandemic when going to the store was not possible. Talking or texting my SA helped a lot! Luxury brands also know how to zhush up their Classic collections based on trends with limited-editions and collabs! It makes you covet more from a particular house all the time!"
0,46,Boston,White,40-60,I love that not everyone has my bags. I love limited editions. The quality and craftsmanship of designer items is what makes me want to buy them.
0,35,Boston,Asian,40-60,"It's the quality and craftsmanship. It's exclusivity. To me, luxury doesn't mean that everyone can get it. It's also great service."
0,41,Charlotte,White,40-60,"New Gucci shoes and socks
The quality of items is the major difference between high end luxury items and brands. They do not lose much in value."
0,41,Charlotte,White,40-60,Luxury fashion brands usually have better craftsmanship and are made with quality materials. I think my luxury items last longer.
1,46,Charlotte,White,40-60,"Timeless elegance, sustainability, and durability"
0,40,Charlotte,White,Under 40,"Luxury brands not only give a more redefined look, fashionably, but these items have a higher quality and also hold their value more than other brands."
1,41,Chicago,Asian,40-60,"Creativity, Design, Attention to detail and marketing, these differentiates the brands from one another and make them more desirable."
1,35,Chicago,White,Under 40,"They are all pieces of wearable, functional art. It’s truly something to collect and admire whether you’re using it or not. I love the design, the way the clothes hug your body, and how every piece is expertly designed. The craftsmanship will continue to make me a collector for life!"
1,51,Chicago,Asian,40-60,"Quality of material, design, history, scarcity"
1,25,Chicago,Asian,Under 40,"Jimmy chop patent mules
Valentino rock stud sandals
Jimmy choo heeled combat boots
Valentino wrap heeled sandal
Louboutin suede booties
Louboutin studded suede sandals
Dior small book tote Asian21 spring
Louboutin hot chick patent pumps"
1,38,Chicago,White,Under 40,Impeccable quality and style that lasts forever
1,33,Chicago,White,Under 40,I really appreciate the high quality and care that is put into luxury fashion brands. Even the luxe packaging is something that stands out to me from other fashion brands. I also appreciate the value of luxury items and the legacy they leave behind for future generations.
1,36,Chicago,White,Under 40,"Quality is far superior, styles are timeless, part of capsule wardrobe, history of brand / certain styles are both interesting and show how they will continue to stand the test of time."
1,44,Chicago,Asian,40-60,"Quality/craftsmanship, fit, aesthetic"
0,34,Chicago,Asian,Under 40,"The main differentiating factor of a luxury fashion brand is the quality of product that you are receiving. Simply touching a designer leather purse, you can feel how soft the high quality material is compared to any other brand. The luxury brands have a well-established reputation of providing superior products and innovative design that other brands can not provide. Every little detail, such as the seamwork of an article of clothing, is executed so perfectly that the items are more durable (if treated appropriately). The luxury brands also offer the individual a sense of status and uniqueness."
0,25,Chicago,White,Under 40,The quality of the item. The clothing/bag/ shoes stays in optimal condition and always looks brand new. They are pieces that I always look forward to wearing and feel confident in.
0,38,Chicago,White,Under 40,"I think it’s definitely exclusivity - the feeling that you’re being offered/buying something that the public doesn’t have ready or easy access to ... for sure.
I think with the big fashion houses, it’s important to build your relationship - as the years go by, you are offered better items more frequently - which helps you feel like you paid off the past — if that makes sense —"
0,47,Chicago,Asian,40-60,The reason I will purchase a luxury fashion brand over other fashion brands is for the quality. Each piece is an investment and I select items that are classic that will not only endure throughout the years (wear and tear) but also will never go out of style.
0,29,Chicago,White,Under 40,"The experience of buying in a luxury store vs. buying from a store that has racks of the same item.

The quality of the items can last a lifetime"
0,45,Chicago,White,40-60,The quality of the design and materials is much higher for designer clothing and accessories than other fashion brands. I prefer to have items that last than items that wear quickly. There is also a resale value to a birkin bag or luxury item versus an non luxury item.
1,49,Chicago,African American,40-60,My experience has been the quality is better and the styles are classic/timeless which works well for my style. I tend to buy clothes that aren’t trendy and shoes that tend to be the “WOW” factor. I also like the exclusivity of buying from luxury brands. Not everyone owns what I have.
0,37,Chicago,White,Under 40,Luxury items are well-made fashion pieces that retain their value.
0,37,Cincinnati,White,Under 40,The recognizable logo and the price
0,35,Cincinnati,White,Under 40,"Unique design, high quality and famous brand names"
0,34,Cleveland,White,Under 40,"Quality and aesthetic. The quality is really nice leather. And the aesthetic is how pleasing it looks to the eyes. Also the fact that i can afford it makes me feel special and proud of myself. I have all of my luxury things on display, I look at them every day and they make me happy"
0,43,Columbus,White,40-60,"I don’t want something everyone has. I like for my things to be exclusive. I don’t want my daughter to have something that African American% of the population can have. I work hard and I want nice things. Allie has always been a kid that others copy, when she was a toddler she work a lot of custom clothing. I like for people to look up to her
Louis Vuitton Felicie"
0,26,Dallas,White,Under 40,"The history and longevity of the brand make it trusted for quality and service, justifying the price."
0,30,Dallas,White,Under 40,Quality and timeless-ness.
1,52,Dallas,Asian,40-60,"Quality, branding, accessibility."
0,33,Dallas,White,Under 40,The craftsmanship/quality. The history. The unique and distinctive designs that catch people’s eye when you’re walking by. The feeling you get knowing you’re wearing something not everyone has. It’s all about exclusivity isn’t it??
0,23,Dallas,White,Under 40,"The brand strategy for luxury brands is different than other fashion brands. Luxury doesn’t meet a need or solve a problem, and so it is intrinsically wrong to position a luxury brand based on how it compares to its competitors. Luxury consumers aren’t interested in more features giving better value for money – that’s a premium marketing angle. Luxury consumers want to know about a brand’s heritage, prestige and uniqueness; it’s identity which counts, rather than a competitive edge."
0,41,Dallas,White,40-60,"What differentiates luxury fast brands from other fashion brands is 1) the style, which I find to be more distinctive/unique, and 2) the craftsmanship, which i find to be more detailed & intricate."
0,29,Dallas,White,Under 40,"Better quality, looking to invest in long term pieces, develop a corporate wardrobe for the office, styles that will last more than one season"
0,59,Dallas,White,40-60,Quality and timeliness
0,43,Dallas,White,40-60,"quality

Class

Stand out"
1,40,Denver,White,40-60,"IMO the 3 major fashion conglomerates that produce 90% of the Luxury market share factories. They buy product product in China and assemble in Italy therefor being able to say the item was made in Italy. Kering, LVMH, Richemont.

Hermes and Chanel are still independent which shows in its quality and value retention.

When I buy a Birkin it’s going to keep, if not double or triple in value. When I buy a YSL Tote I’m losing my money and the item will soon be out of style.

Same with Chanel Classics. The price may be INSANE but the item will last for years and so will the style. I cannot say the same for Chloe, Givenchy, Gucci or Dolce and Gabbana Bags."
0,32,Detroit,White,Under 40,"Craftsmanship, Quality, Customer Experience from (in-person & online), Packaging and in some instances the brand’s storytelling through runway shows/ads etc."
0,57,Detroit,White,40-60,Quality of the product
1,35,Honolulu,Asian,Under 40,"Luxury has great quality, timelessness, and amazing long lasting client relationship. I can have rtw sent to my home to try and pay for what I keep. I can reserve items from runway, I can rely on craftsmanship and good tailoring and alterations. Also, items stand the test of wear and time. They look great years later with good maintenance. It’s worth the investment."
1,35,Honolulu,Asian,Under 40,"What differentiates luxury fashion houses from other fashion brands is of course quality, craftsmanship, after care services and I consider them long term investments. I also have good relationships with my SAs letting me know if something I might want arrived in their boutiques and reserving items for me until I can physically go."
1,43,Houston,Asian,40-60,"Luxury brand usually has more details. Also seasonal designs which are unique. Chanel has their fantasy tweed which is a really beautiful handwork piece. Dior likes their feminine soluette with the waist altered smaller and Dior’s knit work and crochet handwork are gorgeous.
Chanel and Hermès handbags last a long time! The stitching is tight and don’t come lose. Leather doesn’t peel."
1,25,Houston,White,Under 40,"For me personally what differentiates a luxury fashion brand are several factors. First and foremost is quality, the durability of an item is dependent on the quality of the item. I always research the materials the item is made out of not only for my personal knowledge but also to know what I am buying, how to care for it, durability, and if I am getting ripped off. I like to make sure that the luxury item I am paying for is actually luxurious and not cheaply made with cheap materials. I also like to make sure that if I am spending a lot of money I want it to be on something that is timeless and can last for my daughters to one day inherit. Another thing that is important to me is customer service, how you are treated at the store and if they have good service. I also like the items to be exclusive and not something everyone can get their hands on. I also like to buy from brands that have a fair return policy in case I don’t end up liking the item. But the biggest thing after quality has to be customer service. It has happened that I go into a store wanting to buy an item but if I am not treated correctly and nicely by the sales associate I will not buy anything. It also is really frustrating to get a sales associate who doesn’t know much about the brand."
1,47,Houston,White,40-60,"For me, luxury items are expensive, limited quantities, and items I see in Vogue, editorials, or celebrities"
0,52,Houston,None,40-60,The designer pieces are more creative and timeless. The quality is superior. They can be an investment (for example Chanel or Hermes bags) and could be passed through generation.
0,53,Houston,Asian,40-60,"A luxury brand has good quality materials, good fit, identifiable brand style or logo, proper packaging/presentation and excellent service that presents a memorable boutique experience."
0,39,Houston,White,Under 40,"Quality, exclusivity, and the established fashion houses. I prefer not to have what everyone else has, hence the fact that I’m venturing more into Hermès and Chanel. I see so many people wearing Louis Vuitton these days."
0,33,Houston,Hispanic,Under 40,Luxury brands have an immediate recognizability that you do not get from other fashion brands. They connote a certain amount of style by the wearer and have the added bonus of being durable.
0,42,Houston,White,40-60,"To me, the difference between luxury fashion and regular fashion is the quality and the exclusivity. Luxury items have a longer life because they are made better and designers stand behind their items, so if there is a problem they are more apt to make it right. Fashion is everywhere but luxury isn't and that's why I love it."
0,46,Jacksonville,White,40-60,The boutique experience and the overall quality! LV’s material lasts for decades and so does Gucci’s canvas. Once protected the Louboutin’s become a staple when paired with a less expensive dress or jeans.
0,40,Kansas City,White,40-60,"A luxury fashion brand gives the ultimate in exclusivity and service. A luxury fashion brand have beautiful boutique where you don’t just shop, you get to experience the brand lifestyle. In addition, the items sold by luxury brands are high quality, hard to acquire (price, rarity), and only sold in boutiques. The packaging is beautiful. They take care of their customers and stand behind their products. You don’t get that from non luxury brands."
1,29,Las Vegas,White,Under 40,"Price and exclusivity, knowing that not everyone will be able to buy it. Also that pieces are limited so even if you have money to buy it it’s not available. What makes Hermès so appealing to me is that even of you have the money to buy it doesn’t mean you will get it. That’s true luxury to me."
1,32,Los Angeles,White,Under 40,"The biggest difference between luxury brands and non luxury brands are that I believe luxury brands make statements, and the quality will most likely last you a life time compared to a non luxury item. I also love the idea of many luxury items being more exclusive and not loosing there values."
1,47,Los Angeles,White,40-60,"It is a statement for a women . After getting married you want to stand up and by having luxury brand show that you are successful and follow trend . Some designers like Chanel is investment , it doesn’t loose the value .

Luxury brand usually is made of fine and durable quality .
Valentino shoes"
0,43,Los Angeles,White,40-60,"The quality of fabric and materials as well as superior craftsmanship that does not fall apart and can handle being cleaned without losing its color or shape and frame . Design that fits well and can be tailored to your body compared to cheaper products that don’t fit the body well. Original and unique pieces that are timeless compared to off brand that is just trendy for today.
N/a"
0,41,Los Angeles,White,40-60,"Quality and scarcity. It should feel luxurious, and not like every third person on the street has the same thing"
1,29,Los Angeles,White,Under 40,"The experience of locating the merchandise and representation of getting it, the quality of the item for the cost as well as longevity of having it and/passing it down"
0,40,Los Angeles,White,40-60,"Designer brands are statement piece. They give me confidence, and tell the world, “I’ve made it”. The quality is unmatched and I consider all my luxury brands an investment."
1,42,Los Angeles,Asian,40-60,I think the main difference is the unique designs that you get from Luxury fashion houses as well as the quality. I still use my Chanel jumbo from 15 years ago for instance.
0,39,Los Angeles,White,Under 40,"Quality and service, longevity of product"
1,44,Los Angeles,White,40-60,"Exclusivity, quality and craftsmanship. The history and prestige of the brand. A luxury brand will offer a consumer a unique and impeccable shopping experience.  Being able to build relationships with my SA’s throughout the different luxury brands that I shop at is something I don’t get with other brands"
1,36,Los Angeles,White,Under 40,"in my opinion, luxury fashion brands tend to stay as classics and last much longer than other brands. Also, the quality of fabric and material used in luxury fashion brands have a different feel than of others."
1,32,Los Angeles,White,Under 40,Value in the brand. Luxury items are something that hold their value really well. We’ve seen this with a lot of styles resurfacing (ie Prada re-edition and dior saddle are both bags I had in high school and now I’m in my 30s and they’re back in style). The quality is long lasting and something I would hope to pass on to my daughters one day. Luxury items are classics and never go out of style like trendy items and they carry sentimental value. For instance I have a silk Oscar de la renta scarf my mom passed down to me. One day I hope she will also let go of her lady dior bag!
1,43,Los Angeles,Asian,40-60,"I view certain designer brands as timeless and an “asset” for my wardrobe. I think about how I want to wear each piece for 5-10 years, and how good I feel wearing it even if the cost per wear is high. Other fashion brands come and go for me, and I don’t expect to wear them for more than a season or two. In the last 5 years, I have tried really hard not to buy other brands and only use it to fill a void which designer brands don’t have such as a plain white T or denim or a passing trend."
1,36,Los Angeles,White,Under 40,Luxury fashion brands are timeless and classic. Will always be in style. They have better quality.
1,47,Los Angeles,Asian,40-60,"Quality, unique design, history and mystique of the fashion house
Seeing famous or beautiful people on IG wear the outfits
Knowing the company supports charitable causes"
1,30,Los Angeles,White,Under 40,"The difference between a luxury brand from other fashion houses is quality, exclusivity, price, availability, and the way it is produced. Quality being the most important, as other brands use cheaper materials and mass produce their items by machine, which make available to anyone and everyone, losing its value. Luxury brands hand make their items with higher quality, there fore pieces are more limited, which makes it more expensive, and more exclusive."
1,35,Los Angeles,White,Under 40,"The material, fabric, design, cut."
1,34,Los Angeles,White,Under 40,I believe luxury brand is always in style and definitely holds its value
1,55,Los Angeles,Asian,40-60,"Design: each luxury fashion brand has timeless design. Chanel: four pocket design jacket, quilted bag, chain, camellia

Gucci: 3 colors tape,

Christian Dior: forget me nuts, the silhouette(high small waist)

Fendi: two color (beige and black), stripe, beautiful fur collection

Quality is high! you see the excellent craftsmanship. Their pieces are masterpieces:

Chanel: tweed is leakage, details of thread and material is very selected, fashion Jewelly is also very well created

Fendi: their fur collection or fur trimmed coat are outstanding looks and color is amazing

Their monster collection becomes hip and cool for the men

So we know there is a value for the each of merchandise.

It almost feel like an investment.

On the other hands, the other ordinary brands are just consumable."
1,43,Los Angeles,White,40-60,"I prefer luxury fashion more than fashion brands because1. Quality 2. Exclusive, limited edition items 3. Holds resale value, like Hermes bags 4. After sales purchase"
1,37,Los Angeles,White,Under 40,"A luxury brand is unique, iconic, and definitely distinguishing from other brands. Whenever I put on a designer item, whether its clothing, shoes, or one of my purses, I feel like a million dollars! The fact that its exclusive is everything to me. When an item is easily accessible to everyone, I feel like it diminishes the value of it. I enjoy buying designer products for this reason... I feel like I work hard, and I want to enjoy the things I buy!!"
1,31,Los Angeles,White,Under 40,"Luxury fashion brands are not even comparable to other fashion brands. There is something about the way you feel when wearing nice clothing that has a name to it. In fact, it almost becomes an addiction to buy these items ! I love the way I look and feel when wearing designer, for that reason the elegance and class is what differentiates a luxury fashion brand from others."
1,31,Los Angeles,White,Under 40,The quality Of luxury fashion brands is much better and lasts a lifetime. The pieces can be worn over and over again and still maintain its condition. There is also prestige that is associated with a luxury fashion brands and it makes me feel good while I wear it
1,32,Los Angeles,White,Under 40,"Chanel espadrilles
Designer fashion brands provide a sense of style that is timeless and classic. You can style them up and down and a pair well with basic clothing because they are the piece that stands out. The quality is great and you know that it will last forever Designer fashion brands provide a sense of style that is timeless and classic. You can style them up and down and they pair well with basic clothing because they are the piece that stands out. The quality is great and you know that it will last forever"
1,24,Los Angeles,White,Under 40,"Designer bags are truly timeless pieces that one can enjoy for the remainder of their life whereas a regular leather bag is bound to go out of style. Saving and spending a few hundred dollars more to buy a designer piece is truly worth every penny. The quality of designer items are almost always better than any regular item. The stitching, fabrics, leather are extremely unique and made to perfection. I love receiving endless compliments on the luxury items I buy, as it is so rewarding! I feel as if I can pass down my luxury bags, clothes, shoes, and accessories to many generations to come! Absolutely live by quality over quantity."
1,34,Los Angeles,Middle Eastern,Under 40,"Fabric, metal color, hardware, quality overall and design"
1,43,Los Angeles,White,40-60,"Luxury brands are better quality, better materials, the material used are more durable, long lasting, their design is unique."
1,37,Los Angeles,White,Under 40,"Quality, stitching, exclusivity, reputation, social status"
1,34,Los Angeles,White,Under 40,"I would define a luxury brand as a brand that makes products that are rare, unique, high quality and fashion forward. It’s expensive but doesn’t cost more than what it’s worth. They’re hard to find and access. A luxury brand should make you feel luxurious. They produce items you desire not items that you actually require. They make items you desire and will go to great lengths to find pieces you adore."
0,25,Los Angeles,White,Under 40,Unique pieces
0,36,Los Angeles,White,Under 40,"Luxury fashion brands typically provide the highest quality, fit, cut, and elegance, not to mention style."
0,27,Los Angeles,White,Under 40,"A luxury fashion brand offers quality that is far superior to the quality offered by ordinary brands. When purchasing a luxury product, you know that they stand by their product and you can receive help in the event that your item is damaged/breaks. Also, when purchasing luxury goods at a store you know you will get top notch service."
0,31,Los Angeles,Asian,Under 40,"Luxury items hold they value and can stay in fashion for a long period of time. Over time, their value can even go up. I have an old Chanel bag that was my moms and it now worth more than it was purchased for. Plus I work hard and enjoy treating myself to nice things."
0,24,Los Angeles,White,Under 40,I believe that quality and elegance of luxury brands are what makes them different. Luxury fashion brands are typically trend setters and other brands follow from them so I enjoy the originality
0,49,Los Angeles,Asian,40-60,The quality of designer brands vs non-designer brands is what separates designer pieces from the rest. You can see the quality in the stitching and materials that are used to make designer pieces. Designer clothing have a more tailored fit than clothing pieces that are not of a designer brand. I also love the fact that certain designer pieces are timeless and actually appreciate in value over time. You can have designer bags that last year after year and never goes out of style.
0,24,Los Angeles,White,Under 40,Luxury Fashion is an original concept/idea and other fashion brands try copying Luxury designer concepts. Where Luxury designer items are original ideas other fashion brands are just taking concepts - not original.
0,32,Los Angeles,White,Under 40,"This is the lady Dior handbag
What would differentiate a luxury Fashion brand from other fashion brands Is the quality craftsmanship and aesthetics of the item"
0,50,Los Angeles,White,40-60,The quality of craftsmanship. The on point trends. The cachet of the name and what it stands for.
0,41,Los Angeles,White,40-60,"I think a luxury brand is different from other brands for several reasons. First being exclusivity: it’s harder to attain and it’s typically at a higher price point that not all can attain. Second being quality:
The quality is typically higher than everyday to mid price brands.

Third being service: there is an expectation of a higher level of service from luxury brands than everyday brands."
0,26,Los Angeles,Hispanic,Under 40,"Quality fabric, original design ideas"
0,52,Los Angeles,White,40-60,Better Quality better fit And it seems more comfortable and last longer .
0,43,Los Angeles,White,40-60,"Quality and styles. The way the piece is made and craftsmanship behind it. The small details and branding are all things I feel differentiate designer brands from the rest
Designer brands are passionate about fashion and it shows in their collections. That’s why so many mass production brands copy the styles."
0,47,Los Angeles,White,40-60,"The exclusivity, the design, very unique"
0,37,Los Angeles,White,Under 40,Differentiates by the packaging of the product that it’s in. The quality. The services they offer in case something happens or were to happen to your item. The experience in store when you go to purchase an item from any fashion designer brand.
0,34,Los Angeles,White,Under 40,The material is the biggest difference. You can tell based on the stitching how well made something is everything luxury lasts longer
0,37,Los Angeles,Asian,Under 40,It’s the quality and heritage that goes into the products. Each piece is unique and constructed by master craftsman.
0,30,Los Angeles,White,Under 40,timeless. Quality. Perception. Attractiveness.
0,39,Los Angeles,White,Under 40,"When you invest in a luxury item, its serves as a unique piece that celebrates your personal style. I keep all of my luxury items, forever."
0,50,Los Angeles,White,40-60,"Quality, unique design and designer reputation. I enjoy quality, unique pieces in my wardrobe that are distinct and not mass produced. I will buy trendy, everyday clothing too but they are disposable. The classic designer, luxury items I purchase are keepers and considered investments. I appreciate the experience of shopping in a boutique to see displays and styling of clothes. You get more personal attention though sometimes I prefer to be left alone to browse."
0,44,Los Angeles,Asian,40-60,"I strongly believe that the luxury brands are fully aware of their value of the “brand names” and their influences on the society. So even when they sell something casual, like T shirts or even a pair of socks, I would trust them with their quality as well as the design and after-care. Yes, they are more expensive so people might think they’d better be good, and in most cases in my opinion they actually are more than good. They are the top runner of the trend, they have pride and belief in their products and their passion to please and satisfy their clients always impress me and make me want to go back to the same brands."
1,31,Los Angeles,White,Under 40,"To me it all comes down to durability. What I love about luxury brands are the craftsmanship, work, and detail that goes into every item assuring that I can use this item for years to come. I love that!"
