chanel buyer,age,city,ethnicity,group,definition
1,54,Los Angeles,White,40-60,"Exclusivity - the item I buy won't be easy to find or for others to find. Quality - the construction will be the finest and made to last a long time. Taste - the item will be one that will be in good taste even if it is avant garde or not yet in fashion. Uniqueness - the item will reflect a certain style or aesthetic that the particular brand is known for and will be in character with the identity of the brand. Splurge - the item will be more expensive than other items and will add a feeling of luxe that will elevate any outfit. Overall brand identity - the brand will carefully curate its messaging so that I will feel proud to be associated with the brand and those that wear it.
Inventiveness - the brand will seek to explore new ideas and styles, and to set the trends years in advance, and will not be content to simply follow the mainstream. Design - the item will be designed to feature thoughtful details and features that are unique and will be useful to or delight the wearer. Experience - the experience of purchasing the item will be a pleasure from start to finish, from stepping into the store, whether to browse or ultimately purchase. There is a feeling that the brand seeks to build a lasting relationship to which the buyer wants to return again and again, not a short term sales transaction."
0,43,Los Angeles,White,40-60,"Luxury brands focus on the total elevated experience for the customers. The store, ambiance, the staff, every detail that includes elevated shopping bags and gift wrap. The pieces are special not mainstream. Shopping luxury brands creates a “rush” for me. A special gift that I prefer not to see everyone having."
0,36,Los Angeles,White,Under 40,"A luxury fashion brand is something that lasts because it is made with great quality materials.They last generations and I hope to pass all of my luxury items to my offspring one day. The quality honestly speaks for itself. I have a Chanel bag that was handed down to me from my great aunt and it is still my favorite piece. Luxury brands cannot be afforded by all because they are exclusive and that exclusivity makes them even more desired and sought after. There is a reason people wait months to years for their item of their dreams, it is because those items make people not only look great but they also feel great. I love how I feel when i have a new luxury piece to add to my collection."
0,27,Los Angeles,White,Under 40,When I think of luxury I think of high quality. You know it will last. It also makes you feel expensive and confident when wearing luxury. It makes me feel good and like I’m on vacation. They are more fashion statement and trendy compared to regular fashion brands. Luxury never goes out of style .
0,47,Los Angeles,Asian,40-60,"quality, customer service"
1,33,Miami,White,Under 40,"Quality, exclusivity and timelessness"
0,45,Miami,White,40-60,Quality over quantity. Style offered. Timeless pieces.
1,52,Miami,White,40-60,"There is a reason why there is a cache attached to Luxury fashion--it's fit, quality and structure I find to be far superior. Also these brands retain their value. Almost like a commodity on the stock exchange. That is the selling point I should tell my husband 🤣. I also love that when you purchase a luxury clothing item not everyone is wearing it--I like to have my own kind of style and enjoy wearing pieces that are not as easy to come by. Designers aren't mass producing these items. And they are made more personally. Stitching by hand, almost like it's made just for me. If that makes sense."
1,49,Miami,White,40-60,"The unique touches such as the type and placement of hardware or a design/pattern indicating within which season it was purchased. Also the timeless of Chanel, the versatility of Louis Vuitton & the trendiness of Gucci. Each luxury brand has a touch that differentiates it from another brand."
0,27,Miami,White,Under 40,"In my opinion, a luxury handbag, shoes, or jacket completes an outfit. It makes you stand out in a crowd."
1,47,Miami,White,40-60,"I think you really can tell the difference in quality by touching, looking at stitching , weight and look of it says it all. The details that takes a longer time to get done. No comparison at all to cheap brands.
It takes a lot of craft-man ship to get this done."
0,56,Miami,White,40-60,Luxury items are life long items. I have started my collection of designer items since my Asians and I still wear items that are 30+ years old. Old styles always come back! I love my luxury items!
1,61,Miami,White,40-60,"Exclusivity, quality, and cutting edge fashion"
1,29,Miami,White,Under 40,Luxury fashion brands are quality pieces that don’t lose value. They last a lifetime if cared for properly. I love classic styles that never go out of style as well as unique pieces. I love following current fashion trends.
1,29,Miami,Asian,Under 40,"I always find classic pieces that I can wear year after year. I'm not the biggest fan of fast trends, so I like investing in classic pieces that I'll have for a long time (due to quality) and because they'll never go out of style. I also love how each luxury fashion brand is so unique and distinct in their own brand - for example with Chanel, you can immediately recognize the brand, whether it be clothings, handbags, shoes, accessories, and even makeup!"
1,53,Miami,White,40-60,"Sets a standard. Exclusive. Feeling good and special when wearing the item.
LV Bag"
1,34,Miami,White,Under 40,"The brand’s story, history and culture is what differentiates a luxury brand."
1,34,Miami,White,Under 40,Luxury fashion brands hold value over time which make them a better investment pieces in oppose to “fast fashion” brands. Luxury fashion has higher quality materials- which make them more timeless than other fashion brands.
0,50,Miami,White,40-60,Luxury brands are timeless and classic and can have an edge all at the same time. It makes you personally feel good wearing a designer brand
0,32,Miami,White,Under 40,"Luxury fashion brands are usually relevant for longer, less trendy and they are more special purchase."
0,29,Miami,White,Under 40,The appreciation or storage of value. I don’t have to worry about my items going on sale.
0,32,Miami,White,Under 40,"Luxury fashion brands deliver timeless pieces, quality workmanship, and product guarantees."
0,31,Miami,Hispanic,Under 40,"Investing in luxury fashion means you're investing in longevity for your pieces, quality, and being able to be trendy without actually being trendy - the pieces are different, but always have a classic touch. That's what plays into the longevity."
0,25,Miami,White,Under 40,A luxury fashion brand piece stands out and makes an outfit. A luxury designer also has pieces that last you and the quality of the item lasts a lot longer than a typical item.
0,29,Miami,White,Under 40,Chicness of the runway shows
0,32,Miami,White,Under 40,In my opinion I am positive that quality differentiates a luxury fashion brand from other fashion brands. Luxury brands create their products with the highest grade of material. I have had other lower end brands that have lasted 6 months while my more luxury items have lasted for years.
0,51,Miami,White,40-60,I just love the quality of the products as well as the classic styles. I have new trendy pieces as well as classics that I’ve held into for years that still look brand new. I love how it can fit trends for both young and old as I just purchased gucci jewelry as well for my daughters high school graduation gift ❤️
0,32,Miami,White,Under 40,"Luxury Brands are timeless pieces depending on the brand they never go out of style, it’s worth the money spent on those pieces."
0,27,Miami,White,Under 40,"Designer clothing is different from other fashion brands because the quality of the material last forever, it feels great on my body and it also feels good from all of the hard work I do I’m able to afford luxury clothing, bags etc . Its always good to pamper yourself only money can buy!"
0,None,Miami,White,40-60,"For me, a luxury fashion brand Is differentiated from other brands by the history, Such as Hermes Kelly or Birkin bag, Or Chanel.. Those fadhion brands have Been around forever, They area classic And not trendy.."
0,43,Miami,White,40-60,"I enjoy the shopping experience at luxury brands over regular fashion brand,because the attention to detail they show u....They learn your shopping habits, they have personal consultants that catering to my style that I like.And I love how they call me when new merchandise is in...."
0,39,Miami,White,Under 40,"I think what differentiates a luxury designer from others is the cost of the item, the quality and craftsmanship, materials used, as well as the demand and exclusivity of the item. Luxery designers are up to date on the latest styles and they have all the accessories that make my ""wants"" ""needs"""
0,33,New Orleans,White,Under 40,"I think it's the overall experience that you get when you purchase designer clothes - from champagne in the store, one on one shopping, sales assistants that want to help you, just an overall really pleasant experience! Makes me feel great :-)"
0,31,New Orleans,White,Under 40,"History of brand, including where the brand originated and how old it is. Name recognition is also important. The brand must be known for quality materials and classic yet unique designs, and designs that withstand the test of time."
1,37,New York,White,Under 40,Luxury is not something that everyone can attain. A luxury fashion brand should be (or at least feel) exclusive.
0,42,New York,White,40-60,"I feel good investing in a luxury brand items because they have better quality, ie better and longer use time, as opposed to brands that aren’t as high quality. Also, the styles I tend to gravitate to are more timeless and I’m able to enjoy season after season."
0,60,New York,White,40-60,"Details differentiate a luxury fashion brand from other fashion brands.

For example: How seams are finished inside the garment.

Materials used for hardware.

Something about the luxury item should not be replicable. 

The brand and it's products must be Top of class and deliver some meaningful or measurable value like Innovation, Exclusivity, Heritage, Relevance."
1,27,New York,White,Under 40,"Price, quality, reputation"
1,57,New York,White,40-60,"The luxury designer clothing,shoes,bags quality is for lifetime and always look classy and in style"
1,30,New York,White,Under 40,The difference in exclusivity and quality. Luxury fashion allows me to find items that most people my age can’t.
1,60,New York,White,40-60,A luxury brand is more timeless than a run of the mill brand with better materials and overall quality. The pieces are well constructed and last for years. A lot of luxury items tend to have logos so that fashionistas can show off but I am much more about the quality and want subtle logos on my luxury items.
1,49,New York,White,40-60,"The details make the difference to me. Soft satin lining a jacket, a zipper that moves smoothly, stitching that doesn’t come loose....."
1,32,New York,White,Under 40,The exclusivity of luxury brands is everything. Because some luxury items are hard to get and find easily in stores is why I want them. It’s different from fashion brands that available everywhere.
1,59,New York,White,40-60,I think the quality of many of the designer items I have is better than some of my other garments. The expensive pieces that I buy look good for years. I only buy classic pieces so my things are timeless. I still where a chanel bag that I got 30 years ago. I treat my designer things well and I'm very careful with them. I also buy these things because I admit to liking the status and wearing these things makes me feel a bit more special and can give me a lift.
1,60,New York,White,40-60,"A luxury brand is an evolving art. It represents centuries of traditions, incredible craftsmanship, timeless, undeniably recognizable classic and unique collectors/museum pieces. The fashion houses of Hermès, Chanel, Dior, etc endeavor to create a catered buying experience. I value a special connection with a Luxury Boutique Management, SAs, Alterations and Post Sale services. It seems a luxury brand appreciates not only my purchasing power but loyalty and knowledge of collections."
1,24,New York,White,Under 40,"A luxury fashion brand is defined by its price point, its client base, and its history. To me, a luxury fashion brand has been around for a while. In terms of price, a luxury brand is not affordable and should not be considered attainable- I find that bags and shoes are usually the luxury items people save up for, while luxury clothing is worn only by those who own many luxury pieces. I think luxury brands are ones that few people are wearing- that's what makes them special!!"
1,25,New York,White,Under 40,"I believe it is the quality of fabric, the tailoring and the attention to detail in each item."
1,42,New York,White,40-60,"Quality, craftsmanship and longevity, timeless"
1,43,New York,White,40-60,"The high quality, craftsmanship and uncompromised style. There’s nothing like the feeling you get from buying a luxury piece and every time you wear it - so much joy."
1,45,New York,Asian,40-60,"Every high end luxury item purchased, whether clothing, shoes, bags, or jewelry are of exceptional quality and worth the cost. They are timeless and therefore serve as heirlooms that I look forward to handing down to my daughter."
1,57,New York,White,40-60,"A luxury brand is a brand that is special and set apart by its quality and, therefore, price."
1,40,New York,White,40-60,"A luxury brand is all about the experience you have in store or virtually. The caliber of sales associates, the story/history behind the brand and the quality of the goods. Attention to detail in store, virtually, if/how the SA follows up or does outreach, how you feel when engaging with the brand or wearing pieces from it."
0,34,New York,White,Under 40,"A luxury brand is about craftsmanship, exclusivity, a feeling of belonging to a club that not everyone can belong to. When you wear them, you’re treated with respect and when you shop for them, you’re treated to an experience. Sales Associates know you by name and know what you like. You see others carrying the same brand and it is like they are in the know. You do not get that feeling with regular brands."
0,29,New York,White,Under 40,The quality of the pieces is much better than other fashion brands and the styles are more unique.
0,29,New York,Asian,Under 40,The history of the fashion house and quality of materials used.
0,41,New York,Asian ,40-60,Exclusivity. Limited quantities produced.
0,48,New York,White,40-60,Luxury fashion brands don’t copy and come out with original pieces that the others brands aspire to. They are the creative force behind the over all look of the moment. They also tend to be timeless in design and value .
0,28,New York,White,Under 40,A long and rich heritage combined with exquisite craftsmanship using skilled artisans. The aura and illusion of exclusivity as well.
0,58,New York,White,40-60,"The attention to detail, the superior craftsmanship, the higher quality and uniqueness of the materials, be it fabrics, leathers or metals, the originality of the designs, the limited supply."
0,33,New York,Asian,Under 40,"The most important quality that differentiates a fashion brand is the overall feel of the brand. What style or image are they trying to portray through the combined collection of bags, clothes, shoes, etc? That’s an important question. I also think having an original and unique style also is important. For example, I’ve seen a few brands copy Hermès Kelly or Chanel classic flap and it makes me feel like this brand that copies others hasn’t really matured yet. Finally, I consider investment value. I’m always updating my closet and my style has changed from my Asians to early 30s. I never buy with the intention to sell, but I am conscious that my style might be in the middle of changing so I keep abreast of how easily the bag sells and whether or not it can hold its value.
Recently I’ve noticed handbag quality of brands like Chanel and Hermès have been inconsistent. It’s made me reconsider paying a premium. If I want a green bag, I may just buy a different brand. I find dior and fendi to be “edgier” now"
0,44,New York,Asian,40-60,Luxury fashion brand stands for exquisite quality and high standards.
0,33,New York,White,Under 40,Quality!!
0,44,New York,Asian,40-60,"Luxury brands are exclusive. They have impeccable craftsmanship. It's a high level, or should be a high level experience when you purchase in the brand's boutiques. Service is very personalized."
0,44,New York,White,40-60,"I have a distinct taste and one that is not easily replicated.
I like having a style that reflects my personal lifestyle, and also having items coveted by others."
0,32,New York,White,Under 40,For me it’s whether the collections are timeless and will hold their allure beyond one season. Ie a Chanel tweed blazer
0,26,New York,White,Under 40,"A luxury fashion brand is differentiated from other fashion brands by the craftsmanship and quality of materials used to create their garments and accessories. Purchasing something from a luxury brand is an investment in a quality piece that will stand the test of time rather than something expendable. The experience of purchasing an item from a luxury brand is special, especially in a standalone boutique, as you are often offered the history or idea behind a piece you are considering purchasing."
0,47,New York,White,40-60,"Craftsmanship, fabrics/materials, artisans, heritage of brand"
0,49,New York,White,40-60,luxury fashion brand is timeless abs classic. I tend to buy pieces that are staples in my wardrobe. I can dress them up or down. The pieces are purchase are also classic that retain value in the event I ever decide to sell
0,39,New York,White,Under 40,"For me, a luxury purchase is an investment - something that will elevate my entire wardrobe for many years but also hold its value (whether I plan to sell or to pass down to future children)."
0,53,New York,White,40-60,"Craftsmanship

Attention to design and detail

Materials used"
0,27,New York,White,Under 40,The differentiator is by far the quality and the material. Luxury goods are noticeably better quality just by the look and feel and how it holds up and holds its value over time.
0,44,New York,Asian,40-60,Quality of the materials and the construction. I like the idea of “investment” pieces.
0,41,New York,White,40-60,"I find that luxury brands fabric and the way it fits and feels there is a very big difference between a high end brand and other fashion brands. It just forms to the body differently and feels better on a women’s body. I truly believe that spending a bit more money is worth it due to longevity as well. Price is what you pay , value is what you get !"
0,31,New York,White,Under 40,"Luxury fashion brands differ in terms of quality and craftsmanship, personalised service, limited pieces, and history of the individual luxury fashion houses eg Chanel or Hermes. Also their brand identity and making their clients stay with them throughout the years. People feel a sense of pride to wear these luxury items."
0,31,New York,White,Under 40,"you pay for quality, style, and beauty. It is classic!"
0,43,New York,White,40-60,"Something that is classic and will stand the test of time and better quality
Chanel"
0,39,New York,Middle Eastern,Under 40,Quality of craftsmanship
0,40,New York,White,40-60,Luxury fashion brands have quality and craftsmanship that differentiates them from other brands. They are so trend setters.
0,32,New York,White,Under 40,Definitely the quality of the luxury brand
0,44,New York,White,40-60,A luxury fashion brand offers a quality and style above and beyond what you will find at a “typical” retailer. The designers at prestigious fashion houses are creating pieces of art so when I add to my collection it is more than just a garment or accessory.
0,52,New York,White,40-60,"For me these purchases are an investment, great quality than of the less expensive brands the craftsmanship, the fit."
1,41,New York,African American,40-60,The fact that it’s exclusive and mostly harder to get due to it’s usually higher price points. There is also much more attention to detail and better craftsmanship secondary to the fact that it’s usually handmade as opposed to mass produced.
0,43,New York,White,40-60,"High quality, exclusiveness, prestige, accumulated value over time"
1,37,New York,White,Under 40,"To me it’s about a few things. One is exclusivity, the harder an item is to get the more luxurious it seems to feel. A luxury brand always feels different craftsmanship wise & more special. The leather is always softer, the detailing perfect, nothing like it. It also makes you feel more confident when you wear it."
1,58,New York,White,40-60,"A luxury fashion brand uses the highest quality material, expert workmanship and you can see this in the details of the finished product . In addition there is a timelessness to the styling that is unmistakable."
1,30,New York,White,Under 40,Quality and timelessness
0,28,New York,White,Under 40,"price, reputation, and quality. Mostly the reputation of the brand and the types of stores it is sold in (sold in bergdorfs and saks means its luxury fashion brand)"
0,39,New York ,White,Under 40,"The quality, attention to detail, materials used, logos. Feels, looks and more premium"
0,59,New York ,White,40-60,"I appreciate how exclusive and “ hard to get” items are. It makes it that much more desirable. I also love the shopping experience and the entire vibe I get when I go into a designer store, it feels more personal"
1,35,New York ,White,Under 40,"I think what differentiates a luxury fashion brand from other fashion brands is quality of materials and construction, level of customer service"
1,40,New York ,White,40-60,"In my opinion, a luxury fashion brand has a certain signature presence, as well as superior quality/craftsmanship"
0,42,New York ,White,40-60,"Quality of products. ""Limited"" - do not want to spend $$$ if everyone can buy."
1,48,New York ,African American,40-60,"I like the construction and the timelessness of luxury pieces. They stand the test of time and become heirlooms. They are always prized for status as well.
I like having something different than the masses."
1,50,New York ,White,40-60,"When you purchase a luxury fashion brand, you know that you were buying some thing that is well-made, and will most likely stand the test of time (trend wise). I tend to wear mostly luxury brands with timeless looks so I can get the most use out of them, rather than just buying trendy clothing that may not fit me well. Also, with designer apparel, I know the fit will be nicer and showcase my body better than just a less expensive brand."
0,50,New York ,Asian,40-60,Craftsmanship and exclusivity
0,26,New York ,White,Under 40,"For one, the price. Second, designer pieces are like collector's item and are usually timeless. The pieces usually retain their value and make you feel as if you belong to a special club"
0,59,New York ,White,40-60,"Valentino / Birkenstock
Wearing luxury brands makes me stand out and enhances my brand. I’m a real-estate agent in the Atlanta market so it’s important that I look successful. When wearing luxury brands, I exudes confidence. I feel accomplished when wearing luxury brands."
0,33,New York ,White,Under 40,Quality and exclusivity is what differentiates a luxury fashion brand from other fashion brands. Luxury brands are made from fine materials and hold up well over time. They are a true investment and hold their value. Luxury items are exclusive- not everyone can have them. They are prestigious and valuable.
0,55,Newport,White,40-60,"Quality of fabric or leather, workmanship as well as designs. I like classic things that last longer.
B"
0,43,Philadelphia,White,40-60,"The quality , the craftsmanship of the product"
1,46,Philadelphia,White,40-60,"For me it’s all about the feel of the fabrics , the aesthetics of the look. The way the fabrics fit really differentiates the brand. As for Handbags I feel that the quality and the design in luxury is unmatched. When it comes to shoes I appreciate comfort but I really love the style of the shoes. Luxury is custom and can’t be duplicated."
1,45,Philadelphia,White,40-60,"Quality, exclusivity, style"
1,53,Philadelphia,White,40-60,I would say unfortunately the label. It’s a status symbol for our income level. Clearly myself and others at our income level tend to shop in stores such as Bergdorf’s and Saks where you can only purchase luxury labels. I really feel social media has fueled people’s desires to obtain label status even at lower income levels.
0,47,Philadelphia,White,40-60,I feel like a luxury brand can change the entire dynamics of any outfit. You could wear a sweatshirt and leggings from target but If you have a Chanel bag or a luxury brand it automatically changes the entire vibe of your style and or outfit. It makes you feel more confident & put together regardless of what you have on.
0,32,Philadelphia,White,Under 40,Quality and uniqness
0,27,Philadelphia,White,Under 40,"What differentiates luxury brands from other brands is the quality, design and for clothing also the fit. I find that more times than not you get what your pay for. With luxury brands some items also hold their value and are timeless."
0,46,Philadelphia,White,40-60,"The experience in shopping, customer service. Chilled champagne and perrier, I prefer to have my items brought to brought to me for selection and the presentation upon delivery and the packaging. The overall experience is what makes it worthwhile."
0,43,Phoenix,White,40-60,"To me, what differentiates luxury fashion brands from other fashion brands is the quality, exclusivity and timelessness of their pieces. Luxury fashion brands have a rich history and and their styles reflect this."
0,50,Phoenix,White,40-60,"I believe you get what you pay for! Though luxury brands are not for everyone, I admire the exemplary craftsmanship and style they afford me. I prefer to spend more on a timeless, classic item that will transcend seasons than buy trend. Additionally, luxury brand are easily identified. When I choose an additional piece for my collection, it’s almost like an adrenaline rush!
Opinion"
0,42,Sacramento,White,40-60,"The quality and craftsmanship. Details in each piece is what makes it special. Customer service also counts, down to packaging.
Since the pandemic started I just buy online and over the phone with a Sales Associate and they alway ship my items first class."
1,52,San Diego,White,40-60,"The differentiating qualities of a luxury fashion brand includes source materials, design, quality of construction, service delivery and client relationship building. Luxury fashion sources the best materials to create the product. These materials have a more pleasing feel and look, longevity and wear better than non-luxury brands. The design aspects of luxury stems from the creative minds at the helm of the various fashion brands. Luxury fashion creates the look while non-luxury follows the look. Quality of construction and fit sets apart luxury fashion from the rest. Luxury items are made with care and it shows from the pattern, fit and finish...just doesn't compare. Finally, service delivery and relationship building is at the core of luxury. The presentation of the final product and treatment of clientele creates an experience. Luxury shopping should be an experience of enjoyment and echo the brands' overall image and be relatable to the client."
0,55,San Diego,Asian,40-60,"Quality & timeless appeal. Wearability and durability. Best stitching, best craftsmanship. Each piece is it’s own little work of art. Also, not mass produced. Each line every season will eventually become obsolete."
0,52,San Diego,Asian,40-60,Quality and investment. I like the way things look
0,50,San Diego,White,40-60,"I feel that the luxury fashion brand elevates my wardrobe and how I feel when wearing it! I just feel better about myself. Designers spend a lot of time and effort creating this art of luxury wear that I get to wear and enjoy! I love it and feel very fortunate that I get to enjoy!
I love fashion and appreciate it sooo much!! I love putting designers pieces and mix and match! It is very special and I am fortunate that I can do that! It is created by talented people using the best of the best and I love that!!"
0,43,San Diego,White,40-60,"I always feel special when wearing a designer piece, more confident. I like to treat myself to pieces that make me feel good and that I look forward to wearing!"
0,32,San Diego,White,Under 40,"A designer clothing, shoe, handbag, and jewelry are made with quality materials. They hold their value, are noticeable as they convey a sense of wealth, and exclusivity. As far as selling, designer items hold their value as opposed to non designer items"
0,52,San Francisco,Asian,40-60,Timeless and ageless styles are the main reason I shop for the luxury fashion brands. For example I feel always so proud and happy to carry my Asian+years handbags from Hermès ( Kelly 35 sellier to be specific). Hermès also releases some new styles of handbags but they usually variate in sizes ( minis are very hot now). I used to love Louis Vuitton but as they explore too many styles in printing ( monogram with some designs) I began to avoid such items as I feel carrying them is outdated.
1,43,San Francisco,White,40-60,Well made. Unique pieces that you won’t see every day. High end fashion. Good customer service in store. Forever pieces.
1,32,San Francisco,Asian,Under 40,"Quality, craftsmanship and exclusivity all come to mind when I think of luxury goods. I also tend to avoid trendy items so I feel that all the items I buy I will continue to love and enjoy vs a more fast fashion approach which feels both wasteful and fleeting. I also love that the bags and shoes are not only made well, but are worth repairing and can be enjoyed many times over."
1,39,San Francisco,White,40-60,"For me, it's the quality and level of service. Items last a long time and are very well made. The ones I like have a classic feel with long lasting leather and fabric choices. Because of this, luxury items hold their value well too. I also like that they influence other brands, with their shows. I can see elements of luxury designs in a lot of other brands."
0,37,San Francisco,Asian,Under 40,"Original and distinctive design. Quality in the craftsmanship, made with fine materials by skilled individuals rather than mass-produced by underpaid laborers."
0,41,San Francisco,White,40-60,"For me the key components that distinguish a luxury brand are (1) quality of craftsmanship, (2) an evolved, unique design aesthetic, (3) rarity/exclusiveness of items, and (4) incredible service both during and after purchase. Those things likely translate into higher priced items but high prices without underlying value isn't luxury."
0,26,San Francisco,White,Under 40,I think Luxury Fashion is a statement piece that you curate and plan to pass down.
1,33,San Francisco,Asian,Under 40,"Classic, beautiful pieces."
1,36,Santa Monica,White,Under 40,The feel of the store when you walk in. Designer stores make you feel special and the quality of the clothes / shoes / handbags makes you feel good.
1,50,Seattle,White,40-60,"Gucci tote
Luxury fashion brands are timeless, high quality, and send a statement about my personality. More specifically, a wardrobe defines you, what you tolerate, what you love, and how you think about yourself."
1,49,Seattle,White,40-60,"Quality materials, often made in Europe using old world techniques. Originality, durability."
0,44,Seattle,None,40-60,"For me a luxury brand means superb quality, exquisite craftsmanship, items that stand the test of time and something I will be able to use and enjoy for a long time. Luxury brands like Hermès prides itself with only giving the highest quality products, most of them handmade by an artisan, guaranteeing the best of the best. Luxury brands tend to stand the test of time, retaining its value over time (or in the case of Chanel and Hermes classics, value increases in time). It also means exclusivity and tend to have a smaller but more discerning following. Luxury brand aficionados love the heritage/history of each house and appreciate all the hard work that goes into it. Other fashion brands on the other hand are like fast fashion, they cater to trends, what sells now. The quality is not that great, most are mass produced,  and very accessible to everyone. Fashion brands tend to cater to seasonality anf trends, something you can enjoy for months or a few years (depending on the quality). For fashion brands, the heritage/history does not matter as much."
0,28,Tucson,White,Under 40,Quality of luxury brands are better. The history and craftsman’s ship are superior. The exclusivity of luxury is also important. It’s nice to have unique things that you don’t see everyone owning.
1,41,Washington D.C.,Asian,40-60,High price point. Long history and tradition of the fashion house. High level of quality and craftsmanship. Exclusivity and not available to the masses.
0,43,Washington D.C.,White,40-60,Luxury has history. The story of the design and the fashion house have value and the quality of the goods are higher.
0,26,Washington D.C.,White,Under 40,"A luxury fashion brand is more exclusive than a regular fashion brand. Typically, these brands are setting the standards for current trends rather than following them. The quality of these products (such as that of the fabrics used) is much higher than those of a regular fashion brand, and said products are valued higher cost due to their uniqueness and creative design. Many of the styles implemented by luxury fashion brands are timeless and are fashionable throughout many generations due to their prestige."
0,56,Washington D.C.,White,40-60,"When I was a little girl I used to imagine myself walking down Fifth Avenue and looking into the windows at Tiffany’s and Saks Fifth Avenue. I dreamt of one day being able to wear what I saw in the windows. Today I am still that little girl but I am now wearing the things I used to imagine.  What differentiates designer clothing from other fashion brands is how it makes you feel when you put it on or carry, the workmanship that is behind what you are putting on or carrying, and the fabric/materials used by the designers. Saying that what is luxury to one is not luxury to another. It is a personal preference – for me it is always being that little girl imagining what could be when looking into  the windows at Tiffany’s and Saks Fifth Avenue."